OWNERCITYCODE,INFOERTYPE,INFOUNIT,OTHERINFOERTYPE,OTHERINFOUNIT,CLIENTID,SEXID,BDATE,IDTYPE,SCHOOL,EDUCATION,MAIMED,OTHERMAIMED,OTHERMAIMED2,DID,DSEXID,DBDATE,DEDUCATION,CHILDRELATION,OTHERCHILDRELATION,DMAIMED,DOTHERMAIMED,DOTHERMAIMED2,CPARTICLE1,CPARTICLE2,CPARTICLE3,CPARTICLE4,OCCURTIME,RECEIVETIMEYEAR,RECEIVETIMEMONTH,TOWNCODE
1000300000,H,E,,,,M,090,A,C,D,X,,,,M,064,Z,A,,X,,,,B,,,,2016,01,1000306000
1001400000,F,F,,,,M,096,S,C,C,X,,,,,000,D,B,,,,,,,B,,,2016,01,1001404000
6300000000,H,E,,,,M,100,J,C,I,X,,,,M,067,,A,,,,,,,B,,,2016,01,6300700000
6500000000,H,I,,,,M,099,J,B,I,,,,,M,076,Z,A,,,,,,B,A,,,2016,01,
6400000000,F,F,,,,F,097,A,C,C,,,,,F,049,,B,,,,,,O,,,,2016,01,6400900000
6300000000,F,F,,,,M,091,A,C,D,,,,,M,051,Z,A,,X,,,,BZ,,,,2016,01,6301200000
1000300000,F,F,,,,M,094,A,C,C,X,,,,M,066,E,A,,,,,,B,,,,2016,01,1000301000
1001900000,H,I,,,,M,090,J,C,D,,,,,M,000,Z,A,,,,,,B,,,,2016,01,
6400000000,F,F,,,,F,097,A,C,C,H,,,,M,064,,A,,X,,,,B,,,,2016,01,6401000000
6300000000,E,F,,,,F,097,J,C,C,,,,,F,069,G,B,,,,,,,,,,2016,01,6300100000
1001900000,F,F,,,,F,093,A,C,C,,,,,M,064,Z,A,,X,,,,B,,,,2016,01,6602300000
6400000000,H,I,,,,M,102,A,A,I,X,,,,M,071,Z,A,,X,,,,B,,,,2016,01,6400800000
1001900000,H,I,,,,M,000,J,A,I,,,,,F,071,Z,B,,,,,,B,,,,2016,01,6602800000
6500000000,F,F,,,,M,096,J,C,C,,,,,,000,,G,,,,,,B,,,,2016,01,6500700000
6500000000,H,I,,,,M,091,J,C,D,X,,,,F,068,Z,B,,,,,,B,,,,2016,01,
1002100000,F,F,,,,M,098,A,C,Z,X,,,,M,068,,A,,X,,,,,,,,2016,01,6703100000
